"","lon","lat","HUNDRED_BLOCK","count","address"
"245",-122.8456069,49.1371466,"74TH AVE / KING GEORGE BLVD",84,"74TH AVE / KING GEORGE BLVD Surrey"
"246",-122.834643,49.1627301,"88TH AVE / 140TH ST",84,"88TH AVE / 140TH ST Surrey"
"247",-122.8566835,49.1336715,"132ND ST / 72ND AVE",83,"132ND ST / 72ND AVE Surrey"
"248",-122.8228202,49.1984438,"14400 108TH AVE",83,"14400 108TH AVE Surrey"
"249",-122.8041188,49.1668488,"15100 FRASER HWY",83,"15100 FRASER HWY Surrey"
"250",-122.8008855,49.1842028,"15200 100TH AVE",83,"15200 100TH AVE Surrey"
"251",-122.7771723,49.1933631,"160TH ST / 104TH AVE",83,"160TH ST / 104TH AVE Surrey"
"252",-122.7378978,49.118355,"17500 64TH AVE",83,"17500 64TH AVE Surrey"
"253",-122.8456377,49.1500221,"8100 KING GEORGE BLVD",83,"8100 KING GEORGE BLVD Surrey"
"254",-122.8679714,49.1625474,"88TH AVE / 128TH ST",83,"88TH AVE / 128TH ST Surrey"
"255",-122.8497567,49.2007023,"13500 GATEWAY DR",82,"13500 GATEWAY DR Surrey"
"256",-122.7631796,49.1903157,"13800 103RD AVE",82,"13800 103RD AVE Surrey"
"257",-122.8011187,49.126365,"152ND ST / 68TH AVE",82,"152ND ST / 68TH AVE Surrey"
"258",-122.8344448,49.178799,"FRASER HWY / 140TH ST",82,"FRASER HWY / 140TH ST Surrey"
"259",-122.8679044,49.1481299,"12800 80TH AVE",81,"12800 80TH AVE Surrey"
"260",-122.8013318,49.1555436,"152ND ST / 84TH AVE",81,"152ND ST / 84TH AVE Surrey"
"261",-122.79325,49.0457794,"2400 KING GEORGE BLVD",81,"2400 KING GEORGE BLVD Surrey"
"262",-122.834,49.1823,"9900 140TH ST",81,"9900 140TH ST Surrey"
"263",-122.844707,49.2029618,"11000 136TH ST",80,"11000 136TH ST Surrey"
"264",-122.8532587,49.204102,"13300 KING GEORGE BLVD",80,"13300 KING GEORGE BLVD Surrey"
"265",-122.7632674,49.1903149,"13700 103RD AVE",80,"13700 103RD AVE Surrey"
"266",-122.838742,49.1335504,"138TH ST / 72ND AVE",80,"138TH ST / 72ND AVE Surrey"
"267",-122.6889196,49.1049493,"19300 56TH AVE",80,"19300 56TH AVE Surrey"
"268",-122.8122234,49.0418954,"2200 148TH ST",80,"2200 148TH ST Surrey"
"269",-122.8922591,49.2042294,"11900 OLD YALE RD",79,"11900 OLD YALE RD Surrey"
"270",-122.8622548,49.1481184,"13000 80TH AVE",79,"13000 80TH AVE Surrey"
"271",-122.8232355,49.1190821,"144TH ST / 64TH AVE",79,"144TH ST / 64TH AVE Surrey"
"272",-122.7348864,49.1233776,"17600 66A AVE",79,"17600 66A AVE Surrey"
"273",-122.7350025,49.1040924,"176TH ST / 56TH AVE",79,"176TH ST / 56TH AVE Surrey"
"274",-122.8006217,49.1878075,"10200 152ND ST",78,"10200 152ND ST Surrey"
"275",-122.8394229,49.1970264,"10700 138TH ST",78,"10700 138TH ST Surrey"
"276",-122.8485968,49.1552184,"13500 84TH AVE",78,"13500 84TH AVE Surrey"
"277",-122.8100026,49.1864221,"14900 101A AVE",78,"14900 101A AVE Surrey"
"278",-122.6876198,49.1764362,"19300 96TH AVE",78,"19300 96TH AVE Surrey"
"279",-122.8233821,49.1396003,"2500 144TH ST",78,"2500 144TH ST Surrey"
"280",-122.7299801,49.1078406,"5800 177B ST",78,"5800 177B ST Surrey"
"281",-122.7789034,49.1605899,"8700 160TH ST",78,"8700 160TH ST Surrey"
"282",-122.8315871,49.1045115,"KING GEORGE BLVD / 56TH AVE",78,"KING GEORGE BLVD / 56TH AVE Surrey"
"283",-122.8456819,49.1481481,"KING GEORGE BLVD / 80TH AVE",78,"KING GEORGE BLVD / 80TH AVE Surrey"
